scene_index,scene_id,family,level,s1_classification,s2_classification,p2_classification,s1_to_s2,s1_to_p2,s2_to_p2,s2_unique_transition,p2_unique_transition,causal_attribution
0,v2_r_training_00000,sersic,Level 4,NON_IDENTIFIABLE,NON_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE,NON_IDENTIFIABLE->NON_IDENTIFIABLE,NON_IDENTIFIABLE->PARTIALLY_IDENTIFIABLE,NON_IDENTIFIABLE->PARTIALLY_IDENTIFIABLE,False,False,PSF_DIVERSITY_SPECIFIC
0,v2_r_training_00000,bulge_disk,Level 5,NEAR_UNIQUE,NON_IDENTIFIABLE,NON_IDENTIFIABLE,NEAR_UNIQUE->NON_IDENTIFIABLE,NEAR_UNIQUE->NON_IDENTIFIABLE,NON_IDENTIFIABLE->NON_IDENTIFIABLE,False,False,NO_MEANINGFUL_GAIN
3,v2_r_training_00003,sersic,Level 4,PARTIALLY_IDENTIFIABLE,NON_IDENTIFIABLE,NON_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE->NON_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE->NON_IDENTIFIABLE,NON_IDENTIFIABLE->NON_IDENTIFIABLE,False,False,NO_MEANINGFUL_GAIN
3,v2_r_training_00003,bulge_disk,Level 5,NON_IDENTIFIABLE,NON_IDENTIFIABLE,NEAR_UNIQUE,NON_IDENTIFIABLE->NON_IDENTIFIABLE,NON_IDENTIFIABLE->NEAR_UNIQUE,NON_IDENTIFIABLE->NEAR_UNIQUE,False,False,PSF_DIVERSITY_SPECIFIC
5,v2_r_training_00005,sersic,Level 4,NON_IDENTIFIABLE,NON_IDENTIFIABLE,NON_IDENTIFIABLE,NON_IDENTIFIABLE->NON_IDENTIFIABLE,NON_IDENTIFIABLE->NON_IDENTIFIABLE,NON_IDENTIFIABLE->NON_IDENTIFIABLE,False,False,NO_MEANINGFUL_GAIN
5,v2_r_training_00005,bulge_disk,Level 5,NEAR_UNIQUE,NEAR_UNIQUE,NON_IDENTIFIABLE,NEAR_UNIQUE->NEAR_UNIQUE,NEAR_UNIQUE->NON_IDENTIFIABLE,NEAR_UNIQUE->NON_IDENTIFIABLE,False,False,NO_MEANINGFUL_GAIN
6,v2_r_training_00006,sersic,Level 4,PARTIALLY_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE->PARTIALLY_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE->PARTIALLY_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE->PARTIALLY_IDENTIFIABLE,False,False,NO_MEANINGFUL_GAIN
6,v2_r_training_00006,bulge_disk,Level 5,NEAR_UNIQUE,NEAR_UNIQUE,NEAR_UNIQUE,NEAR_UNIQUE->NEAR_UNIQUE,NEAR_UNIQUE->NEAR_UNIQUE,NEAR_UNIQUE->NEAR_UNIQUE,False,False,NO_MEANINGFUL_GAIN
18,v2_r_training_00018,sersic,Level 4,NON_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE,NON_IDENTIFIABLE->PARTIALLY_IDENTIFIABLE,NON_IDENTIFIABLE->PARTIALLY_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE->PARTIALLY_IDENTIFIABLE,False,False,ADDITIONAL_EXPOSURE_ONLY
18,v2_r_training_00018,bulge_disk,Level 5,NEAR_UNIQUE,PARTIALLY_IDENTIFIABLE,NEAR_UNIQUE,NEAR_UNIQUE->PARTIALLY_IDENTIFIABLE,NEAR_UNIQUE->NEAR_UNIQUE,PARTIALLY_IDENTIFIABLE->NEAR_UNIQUE,False,False,NO_MEANINGFUL_GAIN
51,v2_r_training_00051,sersic,Level 4,PARTIALLY_IDENTIFIABLE,NON_IDENTIFIABLE,NON_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE->NON_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE->NON_IDENTIFIABLE,NON_IDENTIFIABLE->NON_IDENTIFIABLE,False,False,NO_MEANINGFUL_GAIN
51,v2_r_training_00051,bulge_disk,Level 5,PARTIALLY_IDENTIFIABLE,NEAR_UNIQUE,NON_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE->NEAR_UNIQUE,PARTIALLY_IDENTIFIABLE->NON_IDENTIFIABLE,NEAR_UNIQUE->NON_IDENTIFIABLE,False,False,ADDITIONAL_EXPOSURE_ONLY
73,v2_r_training_00073,sersic,Level 4,PARTIALLY_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE->PARTIALLY_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE->PARTIALLY_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE->PARTIALLY_IDENTIFIABLE,False,False,NO_MEANINGFUL_GAIN
73,v2_r_training_00073,bulge_disk,Level 5,NEAR_UNIQUE,NON_IDENTIFIABLE,NON_IDENTIFIABLE,NEAR_UNIQUE->NON_IDENTIFIABLE,NEAR_UNIQUE->NON_IDENTIFIABLE,NON_IDENTIFIABLE->NON_IDENTIFIABLE,False,False,NO_MEANINGFUL_GAIN
81,v2_r_training_00081,sersic,Level 4,NEAR_UNIQUE,NEAR_UNIQUE,NEAR_UNIQUE,NEAR_UNIQUE->NEAR_UNIQUE,NEAR_UNIQUE->NEAR_UNIQUE,NEAR_UNIQUE->NEAR_UNIQUE,False,False,NO_MEANINGFUL_GAIN
81,v2_r_training_00081,bulge_disk,Level 5,PARTIALLY_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE,NEAR_UNIQUE,PARTIALLY_IDENTIFIABLE->PARTIALLY_IDENTIFIABLE,PARTIALLY_IDENTIFIABLE->NEAR_UNIQUE,PARTIALLY_IDENTIFIABLE->NEAR_UNIQUE,False,False,PSF_DIVERSITY_SPECIFIC
