feature,orientation_free_auc,raw_auc_higher_helpful,direction,exact_permutation_p,helpful_median,not_helpful_median,helpful_minus_not_helpful_median,spearman_rho_with_log_condition_improvement,bh_qvalue,decision_tree_impurity_importance,rank
bulge_fraction_difference,1.0,0.0,lower predicts helpful,0.02857142857142857,0.0,0.11149161030114468,-0.11149161030114468,-0.07319250547113999,0.42857142857142855,1.0,1
morphology_similarity,0.8125,0.8125,higher predicts helpful,0.2,0.9918704017980189,0.9607631175277793,0.031107284270239566,-0.2380952380952381,0.8241758241758242,0.0,2
psf_sensitivity_log10_condition_gain,0.8125,0.1875,lower predicts helpful,0.2,-0.05068284816581907,0.11497053854109751,-0.1656533867069166,0.09523809523809526,0.8241758241758242,0.0,3
log10_s1_condition_number,0.75,0.25,lower predicts helpful,0.34285714285714286,2.6462808367243955,2.7454431153772636,-0.09916227865286809,-0.30952380952380953,0.8241758241758242,0.0,4
s1_endpoint_multiplicity,0.6875,0.3125,lower predicts helpful,0.42857142857142855,1.0,2.0,-1.0,0.5182674893104818,0.8241758241758242,0.0,5
log10_total_brightness_electrons,0.6875,0.3125,lower predicts helpful,0.4857142857142857,5.0749705222481545,5.476622917024377,-0.4016523947762227,0.9523809523809524,0.8241758241758242,0.0,6
effective_radius_ratio,0.6875,0.6875,higher predicts helpful,0.4857142857142857,0.7260936075853588,0.4988984822149638,0.227195125370395,0.28571428571428575,0.8241758241758242,0.0,7
overlap_fraction,0.6875,0.3125,lower predicts helpful,0.4857142857142857,0.17881849350351736,0.6020391248170589,-0.42322063131354154,0.04761904761904763,0.8241758241758242,0.0,8
sersic_parameter_similarity,0.625,0.375,lower predicts helpful,0.6857142857142857,0.740204767603226,0.7776657987293312,-0.037461031126105215,-0.7142857142857144,0.8241758241758242,0.0,9
centroid_separation_psf,0.625,0.625,higher predicts helpful,0.6857142857142857,2.524528931484375,1.890347954197463,0.634180977286912,0.30952380952380953,0.8241758241758242,0.0,10
s1_image_diameter,0.625,0.375,lower predicts helpful,0.7142857142857143,0.0,1.8753730692667342e-06,-1.8753730692667342e-06,0.3273268353539886,0.8241758241758242,0.0,11
s1_morphology_diameter,0.625,0.375,lower predicts helpful,0.7142857142857143,0.0,1.3150115682624422e-05,-1.3150115682624422e-05,0.3273268353539886,0.8241758241758242,0.0,12
s1_flux_allocation_diameter,0.625,0.375,lower predicts helpful,0.7142857142857143,0.0,1.4879388861472656e-06,-1.4879388861472656e-06,0.3273268353539886,0.8241758241758242,0.0,13
color_similarity,0.5625,0.4375,lower predicts helpful,0.8857142857142857,0.9477493785811717,0.9697735535853,-0.022024175004128344,0.4047619047619048,0.8857142857142857,0.0,14
source_flux_ratio,0.5625,0.5625,higher predicts helpful,0.8857142857142857,0.7227757233739327,0.5663102792901104,0.15646544408382235,-0.19047619047619052,0.8857142857142857,0.0,15
